,readiness
2020-02-22,6.0
2020-02-23,6.0
2020-02-24,7.0
2020-02-25,8.0
2020-02-26,6.0
2020-02-27,3.0
2020-02-28,5.0
2020-02-29,6.0
2020-03-01,3.0
2020-03-02,6.0
2020-03-03,7.0
2020-03-04,8.0
2020-03-05,2.0
2020-03-06,6.0
2020-03-07,7.0
2020-03-08,7.0
2020-03-09,8.0
2020-03-11,7.0
2020-03-12,8.0
2020-03-13,8.0
2020-03-14,4.0
2020-03-15,6.0
2020-03-16,7.0
2020-03-17,7.0
2020-03-18,7.0
2020-03-19,7.0
2020-03-20,7.0
2020-03-21,8.0
2020-03-22,8.0
2020-03-23,8.0
2020-03-24,8.0
2020-03-26,6.0
2020-03-27,8.0
2020-03-28,8.0
2020-03-29,8.0
2020-02-22,6.0
2020-02-23,5.0
2020-02-24,5.0
2020-02-25,6.0
2020-02-26,7.0
2020-02-27,5.0
2020-02-28,6.0
2020-02-29,6.0
2020-03-01,6.0
2020-03-02,6.0
2020-03-03,5.0
2020-03-05,5.0
2020-03-06,5.0
2020-03-07,4.0
2020-03-10,5.0
2020-03-12,4.0
2020-03-16,5.0
2020-03-18,6.0
2020-03-19,4.0
2020-03-20,4.0
2020-03-22,6.0
2020-03-24,5.0
2020-03-25,5.0
2020-03-28,3.0
2020-03-29,3.0
2020-02-02,5.0
2020-02-04,5.0
2020-02-06,5.0
2020-02-09,5.0
2020-02-13,5.0
2020-02-14,5.0
2020-02-17,5.0
2020-02-19,5.0
2020-02-20,5.0
2020-02-22,5.0
2020-02-23,5.0
2020-02-25,5.0
2020-03-03,5.0
2020-03-05,5.0
2020-03-07,5.0
2020-03-09,5.0
2020-03-16,5.0
2020-03-18,5.0
2020-03-23,5.0
2020-03-29,5.0
2020-02-22,4.0
2020-02-23,6.0
2020-02-24,6.0
2020-02-25,6.0
2020-02-26,7.0
2020-02-27,4.0
2020-02-28,3.0
2020-02-29,4.0
2020-03-01,2.0
2020-03-02,4.0
2020-03-03,5.0
2020-03-04,5.0
2020-03-06,5.0
2020-03-07,6.0
2020-03-08,6.0
2020-03-09,6.0
2020-03-10,7.0
2020-03-11,4.0
2020-03-12,6.0
2020-03-13,6.0
2020-03-14,5.0
2020-03-15,5.0
2020-03-16,6.0
2020-03-17,5.0
2020-03-18,6.0
2020-03-19,5.0
2020-03-20,5.0
2020-03-21,4.0
2020-03-22,5.0
2020-03-23,4.0
2020-03-24,5.0
2020-03-25,5.0
2020-03-26,6.0
2020-03-27,5.0
2020-03-28,4.0
2020-03-29,6.0
2020-02-20,5.0
2020-02-21,5.0
2020-02-22,5.0
2020-02-24,5.0
2020-02-26,5.0
2020-02-27,5.0
2020-02-28,4.0
2020-02-29,5.0
2020-03-02,5.0
2020-03-03,5.0
2020-03-04,5.0
2020-03-05,5.0
2020-03-06,5.0
2020-03-07,5.0
2020-03-08,5.0
2020-03-09,5.0
2020-03-10,5.0
2020-03-11,5.0
2020-03-12,5.0
2020-03-14,5.0
2020-03-15,5.0
2020-03-16,5.0
2020-03-17,5.0
2020-03-18,5.0
2020-03-19,5.0
2020-03-20,5.0
2020-03-21,4.0
2020-03-22,5.0
2020-03-23,5.0
2020-03-24,5.0
2020-03-26,4.0
2020-03-27,5.0
2020-03-28,5.0
2020-03-29,4.0
2020-02-21,3.0
2020-02-22,6.0
2020-02-23,7.0
2020-02-24,4.0
2020-02-25,6.0
2020-02-26,8.0
2020-02-27,1.0
2020-02-28,2.0
2020-02-29,3.0
2020-03-01,3.0
2020-03-02,4.0
2020-03-03,6.0
2020-03-04,2.0
2020-03-05,6.0
2020-03-06,5.0
2020-03-07,3.0
2020-03-08,7.0
2020-03-09,2.0
2020-03-10,6.0
2020-03-11,2.0
2020-03-12,5.0
2020-03-13,0.0
2020-03-15,6.0
2020-03-16,2.0
2020-03-17,2.0
2020-03-18,6.0
2020-03-19,5.0
2020-03-20,5.0
2020-03-21,3.0
2020-03-22,5.0
2020-03-23,3.0
2020-03-24,4.0
2020-03-25,3.0
2020-03-26,4.0
2020-03-27,3.0
2020-03-28,4.0
2020-03-29,5.0
2020-02-20,4.0
2020-02-22,4.0
2020-02-23,4.0
2020-02-24,3.0
2020-02-25,2.0
2020-02-26,4.0
2020-02-27,4.0
2020-02-28,5.0
2020-02-29,3.0
2020-03-01,2.0
2020-03-02,2.0
2020-03-03,3.0
2020-03-04,3.0
2020-03-05,3.0
2020-03-06,3.0
2020-03-08,3.0
2020-03-09,3.0
2020-03-10,4.0
2020-03-11,3.0
2020-03-12,4.0
2020-03-13,3.0
2020-03-14,3.0
2020-03-16,3.0
2020-03-17,4.0
2020-03-18,3.0
2020-03-19,5.0
2020-03-20,3.0
2020-03-21,2.0
2020-03-23,4.0
2020-03-24,3.0
2020-03-25,3.0
2020-03-27,4.0
2020-03-28,4.0
2020-02-19,6.0
2020-02-20,6.0
2020-02-21,4.0
2020-02-22,5.0
2020-02-25,5.0
2020-02-26,5.0
2020-02-27,5.0
2020-02-28,6.0
2020-03-01,6.0
2020-03-02,6.0
2020-03-03,6.0
2020-03-04,6.0
2020-03-05,5.0
2020-03-06,5.0
2020-03-08,7.0
2020-03-11,7.0
2020-03-13,7.0
2020-03-14,6.0
2020-03-16,6.0
2020-03-18,6.0
2020-03-19,8.0
2020-03-20,8.0
2020-03-21,6.0
2020-03-23,4.0
2020-03-24,4.0
2020-03-26,5.0
2020-02-19,4.0
2020-02-20,4.0
2020-02-22,4.0
2020-02-23,6.0
2020-02-24,6.0
2020-02-25,6.0
2020-02-27,3.0
2020-02-28,5.0
2020-02-29,5.0
2020-03-01,5.0
2020-03-02,5.0
2020-03-03,5.0
2020-03-04,5.0
2020-03-05,4.0
2020-03-06,5.0
2020-03-07,2.0
2020-03-09,4.0
2020-03-13,3.0
2020-03-16,4.0
2020-03-18,4.0
2020-03-19,4.0
2020-03-20,4.0
2020-03-23,6.0
2020-03-24,6.0
2020-03-25,5.0
2020-03-29,4.0
2020-02-04,5.0
2020-02-05,1.0
2020-02-06,3.0
2020-02-07,2.0
2020-02-08,4.0
2020-02-09,3.0
2020-02-10,3.0
2020-02-11,3.0
2020-02-12,5.0
2020-02-13,2.0
2020-02-14,3.0
2020-02-15,4.0
2020-02-16,5.0
2020-02-17,4.0
2020-02-18,2.0
2020-02-19,3.0
2020-02-20,2.0
2020-02-22,5.0
2020-02-23,3.0
2020-02-24,5.0
2020-02-25,2.0
2020-02-26,4.0
2020-02-27,4.0
2020-02-28,1.0
2020-02-12,7.0
2020-02-13,5.0
2020-02-14,5.0
2020-02-16,8.0
2020-02-17,6.0
2020-02-18,5.0
2020-02-19,8.0
2020-02-20,6.0
2020-02-21,5.0
2020-02-22,7.0
2020-02-23,7.0
2020-02-24,3.0
2020-02-25,5.0
2020-02-26,4.0
2020-02-27,4.0
2020-03-01,6.0
2020-03-02,8.0
2020-03-03,5.0
2020-03-04,4.0
2020-03-05,3.0
2020-03-06,1.0
2020-03-07,2.0
2020-03-08,3.0
2020-03-09,3.0
2020-03-10,5.0
2020-03-11,3.0
2020-03-12,3.0
2020-02-26,7.0
2020-02-27,7.0
2020-02-28,7.0
2020-02-29,7.0
2020-03-01,6.0
2020-03-02,6.0
2020-03-03,5.0
2020-03-04,6.0
2020-03-05,6.0
2020-03-06,6.0
2020-03-07,7.0
2020-03-08,6.0
2020-03-09,7.0
2020-03-11,8.0
2020-03-12,6.0
2020-03-13,7.0
2020-03-14,6.0
2020-03-15,5.0
2020-03-16,6.0
2020-03-17,5.0
2020-03-18,6.0
2020-03-19,5.0
2020-03-20,6.0
2020-03-21,6.0
2020-03-22,5.0
2020-03-23,6.0
2020-03-24,6.0
2020-03-25,6.0
2020-03-26,7.0
2020-03-28,6.0
2020-03-29,5.0
2020-02-12,4.0
2020-02-14,3.0
2020-02-15,6.0
2020-02-16,8.0
2020-02-17,7.0
2020-02-18,7.0
2020-02-21,5.0
2020-02-22,7.0
2020-02-23,6.0
2020-02-25,8.0
2020-02-26,7.0
2020-02-27,8.0
2020-02-29,7.0
2020-03-01,7.0
2020-03-16,5.0
2020-03-17,7.0
2020-03-19,7.0
2020-03-21,7.0
2020-03-22,8.0
2020-03-25,8.0
2020-03-26,7.0
2020-03-27,8.0
2020-03-28,6.0
2020-03-29,5.0
2020-02-01,5.0
2020-02-03,4.0
2020-02-06,4.0
2020-02-09,3.0
2020-02-10,4.0
2020-02-11,5.0
2020-02-12,5.0
2020-02-15,5.0
2020-02-16,3.0
2020-02-17,3.0
2020-02-19,4.0
2020-02-21,3.0
2020-02-26,4.0
2020-02-27,4.0
2020-03-04,4.0
2020-03-05,4.0
2020-03-07,4.0
2020-03-10,4.0
2020-03-14,4.0
2020-03-16,4.0
2020-03-17,4.0
