,readiness
102,6.0
103,6.0
104,7.0
105,8.0
106,6.0
107,3.0
108,5.0
109,6.0
110,3.0
111,6.0
112,7.0
113,8.0
114,2.0
115,6.0
116,7.0
117,7.0
118,8.0
119,7.0
120,8.0
121,8.0
122,4.0
123,6.0
124,7.0
125,7.0
126,7.0
127,7.0
128,7.0
129,8.0
130,8.0
131,8.0
132,8.0
133,6.0
134,8.0
135,8.0
136,8.0
74,6.0
75,5.0
76,5.0
77,6.0
78,7.0
79,5.0
80,6.0
81,6.0
82,6.0
83,6.0
84,5.0
85,5.0
86,5.0
87,4.0
88,5.0
89,4.0
90,5.0
91,6.0
92,4.0
93,4.0
94,6.0
95,5.0
96,5.0
97,3.0
98,3.0
57,5.0
58,5.0
59,5.0
60,5.0
61,5.0
62,5.0
63,5.0
64,5.0
65,5.0
66,5.0
67,5.0
68,5.0
69,5.0
70,5.0
71,5.0
72,5.0
73,5.0
74,5.0
75,5.0
76,5.0
107,4.0
108,6.0
109,6.0
110,6.0
111,7.0
112,4.0
113,3.0
114,4.0
115,2.0
116,4.0
117,5.0
118,5.0
119,5.0
120,6.0
121,6.0
122,6.0
123,7.0
124,4.0
125,6.0
126,6.0
127,5.0
128,5.0
129,6.0
130,5.0
131,6.0
132,5.0
133,5.0
134,4.0
135,5.0
136,4.0
137,5.0
138,5.0
139,6.0
140,5.0
141,4.0
142,6.0
57,5.0
58,5.0
59,5.0
60,5.0
61,5.0
62,5.0
63,5.0
64,5.0
65,5.0
66,5.0
67,5.0
68,4.0
69,5.0
70,5.0
71,5.0
72,4.0
73,5.0
74,5.0
75,4.0
110,3.0
111,6.0
112,7.0
113,4.0
114,6.0
115,8.0
116,1.0
117,2.0
118,3.0
119,3.0
120,4.0
121,6.0
122,2.0
123,6.0
124,5.0
125,3.0
126,7.0
127,2.0
128,6.0
129,2.0
130,5.0
131,0.0
132,6.0
133,2.0
134,2.0
135,6.0
136,5.0
137,5.0
138,3.0
139,5.0
140,3.0
141,4.0
142,3.0
143,4.0
144,3.0
145,4.0
146,5.0
99,4.0
100,4.0
101,4.0
102,3.0
103,2.0
104,4.0
105,4.0
106,5.0
107,3.0
108,2.0
109,2.0
110,3.0
111,3.0
112,3.0
113,3.0
114,3.0
115,3.0
116,4.0
117,3.0
118,4.0
119,3.0
120,3.0
121,3.0
122,4.0
123,3.0
124,5.0
125,3.0
126,2.0
127,4.0
128,3.0
129,3.0
130,4.0
131,4.0
77,6.0
78,6.0
79,4.0
80,5.0
81,5.0
82,5.0
83,5.0
84,6.0
85,6.0
86,6.0
87,6.0
88,6.0
89,5.0
90,5.0
91,7.0
92,7.0
93,7.0
94,6.0
95,6.0
96,6.0
97,8.0
98,8.0
99,6.0
100,4.0
101,4.0
102,5.0
76,4.0
77,4.0
78,4.0
79,6.0
80,6.0
81,6.0
82,3.0
83,5.0
84,5.0
85,5.0
86,5.0
87,5.0
88,5.0
89,4.0
90,5.0
91,2.0
92,4.0
93,3.0
94,4.0
95,4.0
96,4.0
97,4.0
98,6.0
99,6.0
100,5.0
101,4.0
71,5.0
72,1.0
73,3.0
74,2.0
75,4.0
76,3.0
77,3.0
78,3.0
79,5.0
80,2.0
81,3.0
82,4.0
83,5.0
84,4.0
85,2.0
86,3.0
87,2.0
88,5.0
89,3.0
90,5.0
91,2.0
92,4.0
93,4.0
94,1.0
80,7.0
81,5.0
82,5.0
83,8.0
84,6.0
85,5.0
86,8.0
87,6.0
88,5.0
89,7.0
90,7.0
91,3.0
92,5.0
93,4.0
94,4.0
95,6.0
96,8.0
97,5.0
98,4.0
99,3.0
100,1.0
101,2.0
102,3.0
103,3.0
104,5.0
105,3.0
106,3.0
93,7.0
94,7.0
95,7.0
96,7.0
97,6.0
98,6.0
99,5.0
100,6.0
101,6.0
102,6.0
103,7.0
104,6.0
105,7.0
106,8.0
107,6.0
108,7.0
109,6.0
110,5.0
111,6.0
112,5.0
113,6.0
114,5.0
115,6.0
116,6.0
117,5.0
118,6.0
119,6.0
120,6.0
121,7.0
122,6.0
123,5.0
69,4.0
70,3.0
71,6.0
72,8.0
73,7.0
74,7.0
75,5.0
76,7.0
77,6.0
78,8.0
79,7.0
80,8.0
81,7.0
82,7.0
83,5.0
84,7.0
85,7.0
86,7.0
87,8.0
88,8.0
89,7.0
90,8.0
91,6.0
92,5.0
61,5.0
62,4.0
63,4.0
64,3.0
65,4.0
66,5.0
67,5.0
68,5.0
69,3.0
70,3.0
71,4.0
72,3.0
73,4.0
74,4.0
75,4.0
76,4.0
77,4.0
78,4.0
79,4.0
80,4.0
81,4.0
